date, heat_units, rain, erain, total_irrig, tot_eff_irrig, etc, ety, et0, etcp, rzone, available, days_left, deficit_current, rzm, rzm_source, fcap, profile, deficit_want, refill, et0_forecast_yr, original_unit_system
2017-08-01, 0, 0, 0, 0, 0, 0.82, 0.68, 6.8, 226.17, 500, 39.94, 30.00, 16.62, 124.78, Electronic Probe, 141.4, 226.17, 40, 84.84, 1.15, si
2017-08-02, 0, 1, 0, 0, 0, 0.82, 0.68, 6.8, 1.09, 500, 40.43, 30.00, 16.13, 125.27, Electronic Probe, 141.4, 227.26, 40, 84.84, 1.24, si
2017-08-03, 0, 0.2, 0, 0, 0, 0.82, 0.68, 6.8, -0.85, 500, 39.64, 30.00, 16.92, 124.48, Electronic Probe, 141.4, 226.41, 40, 84.84, 1.23, si
2017-08-04, 0, 0, 0, 0, 0, 0.82, 0.68, 6.8, -0.13, 500, 39.7, 30.00, 16.86, 124.54, Electronic Probe, 141.4, 226.28, 40, 84.84, 1.92, si
2017-08-05, 0, 0, 0, 0, 0, 0.82, 0.13, 6.8, -0.78, 500, 39.36, 30.00, 17.2, 124.2, Electronic Probe, 141.4, 225.5, 40, 84.84, 1.74, si
2017-08-06, 0, 0, 0, 0, 0, 0.82, 0.46, 6.8, -1.1, 500, 38.67, 30.00, 17.89, 123.51, Electronic Probe, 141.4, 224.4, 40, 84.84, 1.6, si
2017-08-07, 0.8, 0, 0, 0, 0, 0.82, 0.67, 6.8, -0.3, 500, 38.44, 30.00, 18.12, 123.28, Electronic Probe, 141.4, 224.11, 40, 84.84, 1.57, si
2017-08-08, 2.75, 0, 0, 0, 0, 0.82, 0.58, 6.8, -0.96, 500, 37.66, 30.00, 18.9, 122.5, Electronic Probe, 141.4, 223.15, 40, 84.84, 1.31, si
2017-08-09, 1.25, 0, 0, 0, 0, 0.82, 0.78, 6.8, -1.13, 500, 36.7, 30.00, 19.86, 121.54, Electronic Probe, 141.4, 222.02, 40, 84.84, 1.11, si
2017-08-10, 0, 0, 0, 0, 0, 0.82, 0.87, 6.8, -0.77, 500, 36.43, 30.00, 20.13, 121.27, Electronic Probe, 141.4, 221.25, 40, 84.84, 0.97, si
2017-08-11, 0, 12.2, 3.6, 0, 0, 0.82, 0.79, 6.8, 21.54, 500, 58.69, 30.00, -2.13, 143.53, Electronic Probe, 141.4, 242.79, 40, 84.84, 1.21, si
2017-08-12, 0, 0, 0, 0, 0, 0.82, 0.95, 6.8, -1.85, 500, 52.45, 30.00, 4.11, 137.29, Electronic Probe, 141.4, 240.95, 40, 84.84, 1.4, si
2017-08-13, 0, 0, 0, 0, 0, 0.82, 0.95, 6.8, -4.67, 500, 47.72, 30.00, 8.84, 132.56, Electronic Probe, 141.4, 236.28, 40, 84.84, 1.67, si
2017-08-14, 0.95, 0, 0, 0, 0, 0.82, 2.72, 6.8, -2.71, 500, 45.28, 16.65, 11.28, 130.12, Electronic Probe, 141.4, 233.57, 40, 84.84, 1.8, si
2017-08-15, 0, 2.4, 0, 0, 0, 0.82, 3.69, 6.8, -1.64, 500, 43.86, 11.89, 12.7, 128.7, Electronic Probe, 141.4, 231.92, 40, 84.84, 1.98, si
2017-08-16, 0, 4.8, 0, 0, 0, 0.82, 3.01, 6.8, 26.45, 500, 67.77, 22.54, -11.21, 152.61, Electronic Probe, 141.4, 258.37, 40, 84.84, 2.33, si
2017-08-17, 0, 0, 0, 0, 0, 0.82, 3.01, 6.8, -14.87, 500, 52.85, 17.58, 3.71, 137.69, Electronic Probe, 141.4, 243.5, 40, 84.84, 2.38, si
2017-08-18, 0, 0, 0, 0, 0, 0.41, 2.17, 3.4, -4.09, 500, 49.04, 22.55, 7.52, 133.88, Electronic Probe, 141.4, 239.41, 40, 84.84, 1.75, si
2017-08-19, 2.25, 0, 0, 0, 0, 0.44, 2.87, 3.68, -2.94, 500, 46.48, 16.22, 10.08, 131.32, Electronic Probe, 141.4, 236.47, 40, 84.84, 1.44, si
2017-08-20, 5.25, 0, 0, 0, 0, 0.5, 3.52, 4.2, -1.84, 500, 44.99, 12.80, 11.57, 129.83, Electronic Probe, 141.4, 234.63, 40, 84.84, 1.06, si
2017-08-21, 0, 1, 0, 0, 0, 0.25, 2.96, 2.07, -0.89, 500, 44.39, 15.01, 12.17, 129.23, Electronic Probe, 141.4, 233.74, 40, 84.84, 1.43, si
2017-08-22, 0, 8, 1.5, 0, 0, 0.09, 2.44, 0.72, 18.45, 500, 63.58, 26.06, -7.02, 148.42, Electronic Probe, 141.4, 252.19, 40, 84.84, 1.85, si
2017-08-23, 0, 0.2, 0, 0, 0, 0.21, 1.89, 1.79, -9.47, 500, 52.52, 27.79, 4.04, 137.36, Electronic Probe, 141.4, 242.72, 40, 84.84, 2.23, si
2017-08-24, 0, 2.4, 0, 0, 0, 0.24, 1.36, 2.02, 15.68, 500, 63.94, 30.00, -7.38, 148.78, Electronic Probe, 141.4, 258.4, 40, 84.84, 1.84, si
2017-08-25, 0, 0, 0, 0, 0, 0.32, 0.89, 2.64, -12.65, 500, 52.77, 30.00, 3.79, 137.61, Electronic Probe, 141.4, 245.75, 40, 84.84, 1.92, si
2017-08-26, 0.6, 0, 0, 0, 0, 0.43, 0.89, 3.55, -4.64, 500, 49.2, 30.00, 7.36, 134.04, Electronic Probe, 141.4, 241.11, 40, 84.84, 1.66, si
2017-08-27, 3.45, 0, 0, 0, 0, 0.51, 4.64, 4.25, -2.55, 500, 47.19, 10.17, 9.37, 132.03, Electronic Probe, 141.4, 238.56, 40, 84.84, 1.76, si
2017-08-28, 4.9, 0, 0, 0, 0, 0.52, 3.6, 4.32, -1.83, 500, 45.96, 12.78, 10.6, 130.8, Electronic Probe, 141.4, 236.74, 40, 84.84, 1.86, si
2017-08-29, 0, 3.2, 0, 0, 0, 0.1, 3.01, 0.82, -1.38, 500, 44.81, 14.90, 11.75, 129.65, Electronic Probe, 141.4, 235.35, 40, 84.84, 2.76, si
